iter	RMSE
0	17.72087716
1	16.87099212
2	16.07984102
3	15.36922781
4	14.68878828
5	14.05606003
6	13.46257094
7	12.91081811
8	12.39760651
9	11.90683784
10	11.46321496
11	11.07073086
12	10.68935629
13	10.35333936
14	10.02806609
15	9.729311696
16	9.461330337
17	9.230809289
18	8.996751234
19	8.792450093
20	8.602930382
21	8.421537398
22	8.254322045
23	8.080627524
24	7.93816409
25	7.806512502
26	7.683481725
27	7.574601526
28	7.478537504
29	7.384244801
30	7.302202206
31	7.223685301
32	7.145916095
33	7.080771992
34	7.010887697
35	6.955940503
36	6.905569413
37	6.853876183
38	6.812002557
39	6.764456048
40	6.724384418
41	6.67517803
42	6.640390821
43	6.595111482
44	6.564846704
45	6.534577836
46	6.503781938
47	6.470064816
48	6.443680881
49	6.420662822
50	6.398700333
51	6.381386014
52	6.3525988
53	6.333762848
54	6.311074714
55	6.297553583
56	6.284741287
57	6.271325844
58	6.257261748
59	6.241525122
60	6.230122117
61	6.220178704
62	6.209455561
63	6.197878558
64	6.186531934
65	6.173736675
66	6.162792745
67	6.153436622
68	6.145027667
69	6.131053848
70	6.117985589
71	6.111115032
72	6.102733921
73	6.097077763
74	6.090568082
75	6.08430421
76	6.077782221
77	6.071887705
78	6.066146693
79	6.061737455
80	6.055003655
81	6.050439425
82	6.046297734
83	6.041541238
84	6.036059784
85	6.032452898
86	6.02704754
87	6.022396945
88	6.016516662
89	6.013514443
90	6.008890809
91	6.005414734
92	6.001447638
93	5.997202852
94	5.993923554
95	5.991221342
96	5.98682993
97	5.98316857
98	5.980869262
99	5.977644876
100	5.974294758
101	5.971442709
102	5.968251351
103	5.965128227
104	5.962041237
105	5.957843973
106	5.954432359
107	5.952079231
108	5.948891154
109	5.944400161
110	5.941262949
111	5.939259364
112	5.936314253
113	5.933664446
