iter	Passed	Remaining
0	276	221083
1	585	233546
2	862	229091
3	1120	223058
4	1367	217465
5	1620	214448
6	1884	213433
7	2153	213162
8	2406	211501
9	2660	210147
10	2914	209032
11	3153	207110
12	3397	205658
13	3632	203957
14	3902	204216
15	4151	203438
16	4406	202962
17	4665	202670
18	4953	203610
19	5226	203814
20	5482	203377
21	5732	202738
22	6013	203136
23	6269	202722
24	6519	202101
25	6789	202104
26	7061	202159
27	7324	201950
28	7572	201321
29	7827	200896
30	8075	200328
31	8328	199890
32	8563	199044
33	8818	198684
34	9091	198718
35	9326	197935
36	9582	197611
37	9850	197530
38	10109	197270
39	10356	196771
40	10611	196437
41	10845	195743
42	11111	195622
43	11362	195233
44	11631	195154
45	11894	194964
46	12168	194960
47	12447	195018
48	12731	195129
49	13009	195143
50	13284	195092
51	13563	195107
52	13842	195098
53	14111	194954
54	14373	194693
55	14631	194392
56	14925	194549
57	15201	194469
58	15465	194239
59	15765	194441
60	16009	193948
61	16260	193549
62	16567	193812
63	16806	193273
64	17099	193360
65	17366	193132
66	17679	193423
67	17985	193608
68	18265	193510
69	18550	193455
70	18849	193534
71	19074	192864
72	19323	192441
73	19607	192364
74	19855	191938
75	20154	191998
76	20446	191982
77	20730	191887
78	21055	192168
79	21333	192000
80	21629	191992
81	21947	192178
82	22266	192351
83	22560	192303
84	22872	192397
85	23138	192104
86	23417	191917
87	23675	191558
88	23933	191197
89	24204	190949
90	24508	190950
91	24819	191002
92	25124	190998
93	25379	190614
94	25663	190448
95	25983	190544
96	26294	190567
97	26592	190488
98	26891	190410
99	27156	190092
100	27424	189800
101	27722	189708
102	27989	189403
103	28319	189523
104	28593	189263
105	28859	188946
106	29180	188988
107	29463	188783
108	29734	188499
109	30090	188750
110	30365	188483
111	30652	188296
112	30927	188026
113	31233	187948
