feature,importance
Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,30.173222638570607
is_2016,24.53576662484447
Profesyonel Bir Spor Daliyla Mesgul musunuz?,13.12871052078159
Aktif olarak bir STK üyesi misiniz?,9.053056042528388
Stk Projesine Katildiniz Mi?,8.833750142258955
Spor Dalindaki Rolunuz Nedir?,5.049071107297314
Girisimcilikle Ilgili Deneyiminiz Var Mi?,4.466251467091021
Cinsiyet,1.316848975594211
Ingilizce Biliyor musunuz?,1.0803685515016102
Anne Sektor,0.9928674809760898
Lise Turu,0.7316874586911771
Daha Once Baska Bir Universiteden Mezun Olmus,0.6383989898646165
Anne Calisma Durumu,0.0
Anne Egitim Durumu,0.0
Baba Sektor,0.0
Baska Bir Kurumdan Burs Aliyor mu?,0.0
Baba Calisma Durumu,0.0
Baba Egitim Durumu,0.0
"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite",0.0
Bölüm_freq,0.0
Burslu ise Burs Yuzdesi,0.0
Bölüm,0.0
Burs Aliyor mu?,0.0
Burs Aldigi Baska Kurum,0.0
Baska Kurumdan Aldigi Burs Miktari,0.0
Basvuru Yili,0.0
Hangi STK'nin Uyesisiniz?_freq,0.0
Ikametgah Sehri,0.0
Ingilizce Seviyeniz?,0.0
Dogum Yeri,0.0
Dogum_Yili,0.0
Girisimcilikle Ilgili Deneyiminizi Aciklayabilir misiniz?,0.0
Hangi STK'nin Uyesisiniz?,0.0
Dogum Tarihi,0.0
Lise Bolum Diger,0.0
Lise Adi_freq,0.0
Lise Adi Diger,0.0
Lise Adi,0.0
Kardes Sayisi,0.0
Lise Sehir,0.0
Lise Bolumu,0.0
Lise Mezuniyet Notu,0.0
Universite Adi,0.0
Universite Adi_freq,0.0
Universite Not Ortalamasi,0.0
Universite Kacinci Sinif,0.0
Universite Turu,0.0
Uye Oldugunuz Kulubun Ismi,0.0
Uye Oldugunuz Kulubun Ismi_freq,0.0
Yas,0.0
